Date,High,Low,Open,Close,Volume,Marketcap
2018-11-08,0.9997429999999999,0.9895379999999999,0.992254,0.9943329999999999,2951660000.0,1766354753.64852
2018-11-09,0.9999439999999999,0.9887500000000001,0.9943839999999999,0.9948319999999999,2643090000.0,1767241188.09459
2018-11-10,0.9989939999999999,0.990663,0.995397,0.9971800000000001,2558040000.0,1771412226.32984
2018-11-11,1.00027,0.990462,0.997203,0.990462,2634060000.0,1690145885.10992
2018-11-12,0.997591,0.9872000000000001,0.9902719999999999,0.9891479999999999,2716680000.0,1687903646.94931
2018-11-13,0.9947969999999999,0.97994,0.987837,0.9851179999999999,2679670000.0,1681026767.35474
2018-11-14,1.00305,0.9641909999999999,0.9832000000000001,0.966644,4749050000.0,1649502332.21082
2018-11-15,0.992574,0.9624469999999999,0.9725779999999999,0.982022,4956910000.0,1675743685.66125
2018-11-16,0.992339,0.979035,0.9831789999999999,0.987027,3454560000.0,1684284326.44805
2018-11-17,0.992895,0.984771,0.989956,0.985869,2909490000.0,1731601740.07819
2018-11-18,0.9949700000000001,0.9833329999999999,0.985216,0.992533,3037000000.0,1743306534.52439
2018-11-19,1.00462,0.976188,0.9939629999999999,0.9827300000000001,5189080000.0,1726088332.25007
2018-11-20,0.9930129999999999,0.9500139999999999,0.9775539999999999,0.968799,5908970000.0,1750059571.05109
2018-11-21,0.9964459999999999,0.9646579999999999,0.973448,0.9875039999999999,4348950000.0,1783848689.61594
2018-11-22,0.999798,0.9805649999999999,0.984784,0.998188,3287830000.0,1803148499.43935
2018-11-23,1.0014,0.9757619999999999,0.9909119999999999,0.98257,3775250000.0,1774935804.77237
2018-11-24,0.993022,0.9648709999999999,0.9818500000000001,0.980224,3549490000.0,1770697939.38059
2018-11-25,0.9906029999999999,0.9612149999999999,0.978475,0.980969,5223930000.0,1821092173.57363
2018-11-26,0.992572,0.9679200000000001,0.975026,0.977243,4696030000.0,1814175146.1867
2018-11-27,0.991699,0.966279,0.978976,0.9842600000000001,4071230000.0,1827201657.50557
2018-11-28,1.00637,0.980093,0.9833200000000001,0.998622,4765620000.0,1853863586.47261
2018-11-29,1.0064042178000001,0.9920572384,0.9951644540000001,0.9973771008000001,4348557870.97057,1851552528.55949
2018-11-30,1.0050135105,0.9865168906,0.9966026450000001,0.9918225919,4065662222.09474,1841241017.54765
2018-12-01,1.0158947175,0.9822133846000001,0.9949610642000001,1.0010522828,3306556081.11669,1858375216.23055
2018-12-02,1.003751687,0.9933509826,0.9998414516,0.9983716634,3221855294.28838,1853398856.14673
2018-12-03,1.0109314211,0.9890482623,0.9966758181,0.9965938129,3069963646.01629,1850098415.92123
2018-12-04,1.0072904927,0.9840136392000001,0.9953311534,1.0000310016,3048831081.12716,1856479287.61269
2018-12-05,1.0043137111,0.9867423694,1.0008217161,0.9929658434,3119796460.76823,1843363374.47968
2018-12-06,1.0051441279,0.9820764184,0.9913971665,0.9982960208,3702066873.22063,1853258431.55953
2018-12-07,1.0139405253,0.9907591422,0.9988031845,1.0014312169,4636871756.08269,1859078677.73016
2018-12-08,1.0215063597,0.9967444383,1.0023061679,1.0199754506,3700874976.47555,1893504596.29703
2018-12-09,1.0204049963,1.0085433787,1.0171107024,1.0155021257,3210392368.52983,1885200218.75929
2018-12-10,1.0237293821,1.0118075968,1.0151802061,1.0166042894,3208473004.09929,1887246299.40818
2018-12-11,1.0216222317,1.0051303775,1.0178237707,1.0097940156,3002221768.0178,1874603559.08175
2018-12-12,1.0175568517,1.0064156082,1.0142861224,1.0097561336,2623601152.12374,1874533234.07643
2018-12-13,1.0128854559,0.996698528,1.0103159235,1.0033778532,2657124589.30494,1862692455.66884
2018-12-14,1.008387305,0.996187483,1.0031716065,1.0021972191,2751719688.62728,1860500700.84521
2018-12-15,1.0083328481,0.9986226356000001,1.0036968236,1.0049894347,2191631708.36087,1865684230.68699
2018-12-16,1.0108401962,0.9970298254000001,1.0050198047,1.0063361287,2322330505.44999,1868184262.64413
2018-12-17,1.0153794425,0.9954314554,1.0069683687,1.0099408515,3775394829.57729,1874876148.40095
2018-12-18,1.0163572201,1.0022541637,1.0098494489,1.0128679029,4567397831.57643,1880309990.20407
2018-12-19,1.0234778065,1.0096153812,1.010798418,1.0223623026,5315586579.3184,1897935600.3038
2018-12-20,1.0350002634,1.0123097558,1.0240241042,1.0194172045,6967777735.03274,1892468256.0846
2018-12-21,1.0283776515,1.0080385078,1.0231340228,1.0155063786,5957952407.51483,1885208113.95385
2018-12-22,1.0211696268,1.0087496462,1.0115603568,1.0208057406,4244056323.13403,1895045964.64421
2018-12-23,1.0263759915,1.0123148854,1.0153610485,1.0159549508,5243877297.5159,1886040853.0988
2018-12-24,1.0306911153,1.004486087,1.0160578383,1.0157767644,6912098933.11003,1885710063.90003
2018-12-25,1.0328852367,1.0089051502,1.017005646,1.019049879,5493940636.93187,1891786345.07948
2018-12-26,1.0323295002,1.0117072317,1.0219434656,1.0195496922,4461185015.66637,1892714209.14914
2018-12-27,1.0434922997,1.0158001566,1.023169462,1.024173907,3977540744.40869,1901298702.01406
2018-12-28,1.0321456772,0.9970924764,1.0225739778,1.0231604439,4639997631.21135,1901200729.37757
2018-12-29,1.0486951489,1.0156174487,1.0239528243,1.0314726081,4372940348.22356,1916646100.40582
2018-12-30,1.0352728735,1.0163929516,1.0305140398,1.0190858705,3762583033.15247,1893629500.49846
2018-12-31,1.0247497546,1.0078962652,1.0197323556,1.0137219053,3447513903.7032,1884199082.05867
2019-01-01,1.0208000447,1.0086026062,1.0152846695,1.018334533,3139234962.53923,1892772546.77921
2019-01-02,1.0240124571,1.0118328436,1.0175296594,1.0240124571,4442755398.03278,1908446133.84257
2019-01-03,1.0268251737,1.018287033,1.0206538391,1.0194728905,3487202822.88593,1900260729.7536
2019-01-04,1.0248575738,1.0108100463,1.0235571525,1.0171998532,3895786727.45768,1898444419.19731
2019-01-05,1.0263427967,1.0103405617,1.0155259872,1.0184889393,3993806913.87051,1900850296.7127
2019-01-06,1.0262024924,1.0048424305,1.0181439757,1.023577683,4224650069.65213,1910347640.97755
2019-01-07,1.0247645242,1.012341529,1.0223542812,1.0139867873,3761972510.39238,1899849837.7623
2019-01-08,1.0224039558,1.0128949492,1.0143703781,1.0193501463,3843200052.4612,1921519012.39787
2019-01-09,1.0221864029,1.0103035533,1.0198196179,1.0168296361,3694148977.79231,1924061689.52225
2019-01-10,1.0481809967,1.0164329512,1.0175396305,1.0234597417,5844376311.40524,1951532808.85567
2019-01-11,1.0281709673,1.0199604432,1.027637672,1.0233159796,4194066259.19542,1973324875.63411
2019-01-12,1.028174659,1.0168672476,1.024717743,1.020880553,3258438566.9753,1968628488.43233
2019-01-13,1.0383696987,1.0163111950000001,1.0207714806,1.0200907043,3380321685.86558,1967105373.40181
2019-01-14,1.0262319717,1.0126402259,1.0202086693,1.0208560085,4072427029.12826,1994117521.69903
2019-01-15,1.0267748221,1.0176983658,1.019027312,1.0205575444,3956962446.72808,2030634313.53922
2019-01-16,1.0242838681,1.0152112773,1.0221278602,1.0185215285,3933540776.91193,2034461698.31308
2019-01-17,1.0192011913,1.0124469892,1.0167727345,1.0174945895,4146824181.56895,2039914520.91755
2019-01-18,1.020454426,1.0129884652,1.016445665,1.0172509533,3661299222.97699,2049916428.82381
2019-01-19,1.0206557797,1.0100329935,1.0129346552,1.0167817645,3961648843.91667,2049986706.61459
2019-01-20,1.027487941,1.0131586736,1.0169017295,1.0171463136,4389435191.33233,2050721693.05414
2019-01-21,1.0226111184,1.0059666926,1.015523874,1.0133755015,3497758658.24813,2043620529.64579
2019-01-22,1.0152914387,1.0068641445,1.0133446639,1.0090363643,3879616222.1087,2035374036.03316
2019-01-23,1.0133285462,1.0072863261,1.0098676927,1.008296571,3663985820.62712,2033881764.52486
2019-01-24,1.0120039182,1.0045462482,1.0088230019,1.0085397113,3581348681.96321,2034477909.03914
2019-01-25,1.0128992644,1.0073590254,1.0101997104,1.0105222447,3634209137.46362,2038477176.89338
2019-01-26,1.0139387172,1.0042576614,1.010027788,1.0092642919,3445405585.0009,2035939570.09976
2019-01-27,1.0148942661,1.0049169321,1.0105846013,1.0087172457,3932642453.35925,2034836040.57516
2019-01-28,1.0137438176,1.0060818732,1.0094051882,1.0088296671,4951907623.38686,2038694609.61736
2019-01-29,1.01252314,1.0060172754,1.0082761329,1.0094375847,4206195777.29743,2039923120.58829
2019-01-30,1.011843721,1.004905234,1.0093218873,1.0071879498,4249354159.91021,2035381727.47968
2019-01-31,1.0094313176,1.0041273143,1.0066645802,1.006489651,4110696174.18765,2033970566.25859
2019-02-01,1.0107297155,1.0010056268,1.0047963135,1.0063091419,3949396927.19681,2033605783.29503
2019-02-02,1.0078126848,1.0010033351,1.0051524007,1.0026995111,3806913471.4358,2026311239.6373
2019-02-03,1.0062852224,0.9981109675000001,1.000946314,1.0000466311,3756996123.63007,2020950151.37317
2019-02-04,1.0035036951,0.9976371136000001,1.0015063491,0.9998264587000001,3770858317.47752,2020505214.67597
2019-02-05,1.0049447851,0.9955011916000001,0.9984347203,0.9995320554,3691717611.85486,2019910267.92831
2019-02-06,1.0128783554,0.9928810762,0.9994984192,1.0010025153,4271302712.75133,2023129503.61637
2019-02-07,1.0032456734,0.9985448357000001,1.0014776175,1.0010784891,3569921563.31553,2023283054.39426
2019-02-08,1.0090788805,0.9867687129,1.0009439099,1.0019432715,6153689552.04559,2025330850.84712
2019-02-09,1.0063456735,0.9987612625000001,1.0039137167,1.0002949783,4749715864.508,2021998986.53538
2019-02-10,1.0081772265,0.9999298148,1.0010474461,1.0042170133,4965113767.70391,2029926998.79946
2019-02-11,1.0124701932,1.0015319801,1.0042423215,1.0031646082,5144064148.52791,2027856142.37821
2019-02-12,1.0079249887,0.9987742289,1.0031418549,1.0039791462,5105059634.46272,2029502697.42113
2019-02-13,1.0072713149,0.9995257004,1.0045450765,1.0039683285,5228665974.61214,2029480829.94457
2019-02-14,1.0104392374,1.0014625726,1.0041861512,1.0064819128,4761618448.24469,2034561937.73319
2019-02-15,1.0086570234,1.0018342916,1.0067873657,1.003440948,5016161093.35336,2028414751.87769
2019-02-16,1.0073221142,0.9989470234000001,1.0020523567,1.0032638528,4506743621.47829,2028056761.14843
2019-02-17,1.0063883051,0.9925128054000001,1.0044779952,1.0009564119,5746888553.11712,2023392364.03702
2019-02-18,1.0144384705,0.9964806727000001,1.0016119749,1.005453061,9082574151.55457,2032482155.94494
2019-02-19,1.0120933184,1.0024197801,1.0043161875,1.0076160416,9304885085.93642,2036854532.60167
2019-02-20,1.0135276371,1.0025039053,1.0089069119,1.0069783634,8091720630.32415,2035565492.21419
2019-02-21,1.0117021332,1.0025203503,1.0072226297,1.0044177163,6765318432.2806,2030389248.96481
2019-02-22,1.0097347604,1.0000101212,1.0035777162,1.008539864,6931449681.07598,2038722001.72185
2019-02-23,1.0109401729,1.0003407874,1.0105615,1.0085293644,8122320488.37515,2038700777.08947
2019-02-24,1.0491157806,1.0026203689,1.0087515805,1.0120456675,11405442805.9269,2045808839.8172
2019-02-25,1.0221178286,1.0064205026,1.0123250112,1.0150517352,9138604587.98998,2051885482.37268
2019-02-26,1.0205138127,1.0077864647,1.0129751067,1.0108466255,7159288172.91107,2043385025.454
2019-02-27,1.022005402,1.0058922134,1.012706864,1.0090448082,7569906986.54861,2039742725.56608
2019-02-28,1.019382699,1.0053965203,1.0080148373,1.0100673219,7911756336.19053,2041809695.16514
2019-03-01,1.0163912841,1.005785256,1.0097858524,1.0068675776,6628411253.12369,2035341543.17901
2019-03-02,1.0143623216,1.0056563715,1.0066617161,1.0114160749,6623334102.74913,2046557762.56906
2019-03-03,1.0145433264000001,1.0068545477,1.0083314338,1.0102196665,6148316202.30238,2043328704.96776
2019-03-04,1.0170428736,1.0073189199,1.0086027815,1.0116168051,8129567031.51411,2046154638.27787
